가맹점명,전화번호,주소,데이터기준일자
제주감귤농업협동조합유통사업소 서부사업소,064-739-6781,제주특별자치도 서귀포시 1100로 120,2024-05-20
GS25 한라산1100고지점,,제주특별자치도 서귀포시 1100로 1555,2024-05-20
1100고지휴게소,,제주특별자치도 서귀포시 1100로 1555,2024-05-20
1100로 휴게마트,,제주특별자치도 서귀포시 1100로 168-5,2024-05-20
스시망고,064-739-0505,제주특별자치도 서귀포시 1100로 171,2024-05-20
송가네순대국밥,064-739-0467,제주특별자치도 서귀포시 1100로 177,2024-05-20
준미네슈퍼,064-738-2830,제주특별자치도 서귀포시 1100로 178,2024-05-20
씨유제주회수사거리점,,제주특별자치도 서귀포시 1100로 178,2024-05-20
동그라미가든,064-739-5433,제주특별자치도 서귀포시 1100로 217,2024-05-20
팬제주(pan jeju),064-768-1925,제주특별자치도 서귀포시 1100로 219,2024-05-20
보름숲,064-738-1008,제주특별자치도 서귀포시 1100로 255,2024-05-20
중문아리랑,064-738-6800,제주특별자치도 서귀포시 1100로 38,2024-05-20
중문하은이네뽈살김밥,064-739-9949,제주특별자치도 서귀포시 1100로 38,2024-05-20
(주)신시아 제주지점(회수다옥),064-739-2794,제주특별자치도 서귀포시 1100로 453-38,2024-05-20
라스메랄다/(주)이에스리조트클럽,070-4548-0285,제주특별자치도 서귀포시 1100로 501,2024-05-20
파파스브로트,,제주특별자치도 서귀포시 1100로 501,2024-05-20
GS25클럽이에스제주점,,제주특별자치도 서귀포시 1100로 501,2024-05-20
씨유제주중문사거리점,064-738-3234,제주특별자치도 서귀포시 1100로 6,2024-05-20
명륜진사갈비 중문점,064-739-5382,제주특별자치도 서귀포시 1100로 6,2024-05-20
중문갈치노릇,,제주특별자치도 서귀포시 1100로49번길 28-19,2024-05-20
민들레한정식,064-732-5973,제주특별자치도 서귀포시 516로 11,2024-05-20
서귀포농협유통자재센타,064-762-5101,제주특별자치도 서귀포시 516로 125,2024-05-20
세븐일레븐 서귀포토평사거리점,,제주특별자치도 서귀포시 516로 143,2024-05-20
솔향식당,064-763-7353,제주특별자치도 서귀포시 516로 145,2024-05-20
씨유제주516도로점,064-726-7050,제주특별자치도 서귀포시 516로 176,2024-05-20
영희김밥,,제주특별자치도 서귀포시 516로 176,2024-05-20
녹산원,064-767-9200,제주특별자치도 서귀포시 516로 187,2024-05-20
일품순두부오일육점,064-762-8850,제주특별자치도 서귀포시 516로 260,2024-05-20
경자이모네,064-762-2225,제주특별자치도 서귀포시 516로 295-13,2024-05-20
모이라펜션 모이라,064-732-0005,제주특별자치도 서귀포시 516로 296,2024-05-20
제주감귤농업협동조합유통사업소중부사업소,064-732-6077,제주특별자치도 서귀포시 516로 354,2024-05-20
귤한편,064-767-0516,제주특별자치도 서귀포시 516로 387,2024-05-20
